user_id,username,email,account_id,balance,song_id,title,artist,genre,price
4c462a9c-81f2-48d5-9ca5-2db98c8c9355,user_6,user_6@example.com,157a5e1f-31e3-4264-92fb-e38cc91123b4,126.61,18655abc-d7af-4bc4-94ba-8402f1c748ca,Song 25,Artist 5,Jazz,7.84
2e3e5798-4a9f-4268-a80d-3551a9e1843b,user_23,user_23@example.com,f03c5971-a27a-444b-bbed-1267ded77074,277.02,6e11084f-8634-4570-aee5-91dcd99018b0,Song 132,Artist 12,Electronic,10.01
bcb76878-86df-4b81-a1b5-97c67458073c,user_25,user_25@example.com,24866ecb-e0df-40a5-be3a-32bf0a69b41c,180.98,bb2433ad-263b-4060-839b-4f20cf6cdda1,Song 194,Artist 14,Rock,6.69
95f916ee-dc1b-4a47-bef6-4ec87b98142f,user_19,user_19@example.com,bc55c0b2-849b-4482-8863-c46a733b1030,26.52,0d591a26-7a84-40e2-ac09-bdc0524edd6f,Song 23,Artist 3,Rock,14.65
71a9498f-f7f3-4d87-9a10-5e1836e3cd76,user_33,user_33@example.com,9453a219-e89f-4691-927e-9f9ec66bc6e4,402.46,a52c27f5-a78f-4dbe-832c-1f1b304ac630,Song 156,Artist 16,Jazz,11.69
5d57ba56-8ad1-4748-ad7a-13d3572366ad,user_66,user_66@example.com,bb1197a8-37af-4217-91c2-b0e507303cae,226.56,856c9c9a-2587-48f0-a61f-30be521efff5,Song 37,Artist 17,Electronic,4.57
bacc9f5d-9ab2-4722-a7d9-823e849017f5,user_0,user_0@example.com,4d3e8692-0cff-40cc-81ed-8cf9e2cc3327,235.76,726fd9dc-e442-414b-a0ab-6db5592c6a46,Song 181,Artist 1,Jazz,4.19
fb1cc971-3210-4dda-914b-b4f1498b088b,user_83,user_83@example.com,b71bad17-6103-48ab-9a5b-d76f8a69e43b,490.25,57c631f2-6b1a-4b57-8e61-690f37a0fea8,Song 126,Artist 6,Jazz,8.88
347a29cf-91bd-4903-a2ec-4c524a2e82a4,user_10,user_10@example.com,32262bfb-d5a4-4e75-b120-1811452f145f,11.88,2713e750-0b98-46f1-8a74-4779defed9f0,Song 141,Artist 1,Pop,2.3
f276973f-fc54-4183-8842-dfaf0f3e204d,user_80,user_80@example.com,f43558a0-caca-4033-85c1-659a7982846c,66.53,bb2433ad-263b-4060-839b-4f20cf6cdda1,Song 194,Artist 14,Rock,6.69
